location_id,location_name,category,latitude,longitude,source
3684324224,Laopani,railway_station,26.1994939,92.5945394,OpenStreetMap/Geofabrik North-Eastern Zone
3684357942,Amoni,railway_station,26.4482495,92.9198178,OpenStreetMap/Geofabrik North-Eastern Zone
3684357943,Jakhalabandha,railway_station,26.5804062,92.9906325,OpenStreetMap/Geofabrik North-Eastern Zone
3684357944,Samaguri,railway_station,26.4164936,92.8501979,OpenStreetMap/Geofabrik North-Eastern Zone
3684464484,Amronga,railway_station,25.9819801,90.8540009,OpenStreetMap/Geofabrik North-Eastern Zone
3684464485,Chaprakata,railway_station,26.4922948,90.612514,OpenStreetMap/Geofabrik North-Eastern Zone
3687006707,Bahadur Chariali,railway_station,27.4481151,95.3507001,OpenStreetMap/Geofabrik North-Eastern Zone
3687006708,Bogapani,railway_station,27.4339386,95.6083922,OpenStreetMap/Geofabrik North-Eastern Zone
3687006709,Dhamalgaon Junction,railway_station,27.3874433,94.8375445,OpenStreetMap/Geofabrik North-Eastern Zone
3687006710,Makum,railway_station,27.4869637,95.4393434,OpenStreetMap/Geofabrik North-Eastern Zone
3687006711,Powai,railway_station,27.3497387,95.6475824,OpenStreetMap/Geofabrik North-Eastern Zone
3765264557,Thakurkuchi,railway_station,26.2336261,91.9219307,OpenStreetMap/Geofabrik North-Eastern Zone
3933174897,Soleartek Ghat,ferry_terminal,25.8897459,90.0181091,OpenStreetMap/Geofabrik North-Eastern Zone
4117423764,Anipur,railway_station,24.5497017,92.4282504,OpenStreetMap/Geofabrik North-Eastern Zone
4192839854,Margherita,railway_station,27.2892845,95.6729223,OpenStreetMap/Geofabrik North-Eastern Zone
4264716321,Algapur,railway_station,24.7518835,92.59482,OpenStreetMap/Geofabrik North-Eastern Zone
4324640966,Borhat,railway_station,27.1638447,95.2771766,OpenStreetMap/Geofabrik North-Eastern Zone
4334992593,New Tinsukia Junction,railway_station,27.4797097,95.3340578,OpenStreetMap/Geofabrik North-Eastern Zone
4407020393,Barpeta Road bus station,bus_station,26.5004873,90.9681296,OpenStreetMap/Geofabrik North-Eastern Zone
4566446598,Dawki - Guwahati bus stand,bus_station,25.5735853,91.8768251,OpenStreetMap/Geofabrik North-Eastern Zone
4570916154,Dhubri,ferry_terminal,26.0158012,89.9922107,OpenStreetMap/Geofabrik North-Eastern Zone
4612200291,Barbari,bus_station,26.4552176,91.7938825,OpenStreetMap/Geofabrik North-Eastern Zone
4622072596,,ferry_terminal,24.9957002,90.7042152,OpenStreetMap/Geofabrik North-Eastern Zone
4622072600,,ferry_terminal,24.9945119,90.7040065,OpenStreetMap/Geofabrik North-Eastern Zone
4633620396,Sululya Bus Station,bus_station,27.5999385,93.8257835,OpenStreetMap/Geofabrik North-Eastern Zone
4640111959,Saikhoa Ghat,ferry_terminal,27.7635417,95.565662,OpenStreetMap/Geofabrik North-Eastern Zone
4724765528,Silapathar,railway_station,27.5928149,94.7179231,OpenStreetMap/Geofabrik North-Eastern Zone
4729610919,Nimati Ghat River Port,ferry_terminal,26.8614488,94.2420248,OpenStreetMap/Geofabrik North-Eastern Zone
4738896144,Panitola,railway_station,27.4950278,95.2565607,OpenStreetMap/Geofabrik North-Eastern Zone
4740596718,Guijan,ferry_terminal,27.5779056,95.3249466,OpenStreetMap/Geofabrik North-Eastern Zone
4743832371,Talap,railway_station,27.6731524,95.5632056,OpenStreetMap/Geofabrik North-Eastern Zone
4751283163,Ledo,railway_station,27.2911125,95.7386007,OpenStreetMap/Geofabrik North-Eastern Zone
4868280221,SNT - Sikkim Nationalised Transport,bus_station,27.3339366,88.614527,OpenStreetMap/Geofabrik North-Eastern Zone
4885324846,Sadiya Ghat,ferry_terminal,27.8176853,95.64421,OpenStreetMap/Geofabrik North-Eastern Zone
4885324898,,ferry_terminal,27.8898414,95.6135724,OpenStreetMap/Geofabrik North-Eastern Zone
4885599919,Teliamura,railway_station,23.8615463,91.6183175,OpenStreetMap/Geofabrik North-Eastern Zone
4885600974,Maishashan,railway_station,24.8225002,92.2884241,OpenStreetMap/Geofabrik North-Eastern Zone
4885601110,Chandkhira Bagn,railway_station,24.5586826,92.2997333,OpenStreetMap/Geofabrik North-Eastern Zone
4925330124,Vajra stand,bus_station,27.3428304,88.6131673,OpenStreetMap/Geofabrik North-Eastern Zone
4925330129,Southwest jeep stand,bus_station,27.329669,88.6115871,OpenStreetMap/Geofabrik North-Eastern Zone
4925330149,SNT Bus Station (ground floor),bus_station,27.1660672,88.3632526,OpenStreetMap/Geofabrik North-Eastern Zone
4925330237,Advanced ticket to Darjeeling namchi ravangla south&west sikkim,bus_station,27.3297012,88.6116472,OpenStreetMap/Geofabrik North-Eastern Zone
4925330238,Namchi Bus 7am,bus_station,27.3340463,88.6146237,OpenStreetMap/Geofabrik North-Eastern Zone
4925338221,Prepaid taxi (1st floor),bus_station,27.1660523,88.3630227,OpenStreetMap/Geofabrik North-Eastern Zone
5232412822,,helipad,24.6834722,92.5633228,OpenStreetMap/Geofabrik North-Eastern Zone
5265226721,Kamalabari ghat,ferry_terminal,26.914931,94.1553855,OpenStreetMap/Geofabrik North-Eastern Zone
5283289823,Bus to Churachandpur,bus_station,24.7987581,93.9343991,OpenStreetMap/Geofabrik North-Eastern Zone
5283500422,,bus_station,24.3414536,93.6973282,OpenStreetMap/Geofabrik North-Eastern Zone
5298833844,,helipad,24.8303415,92.7964957,OpenStreetMap/Geofabrik North-Eastern Zone
5302057025,Apsts Bus Stand,bus_station,27.5948593,91.8726057,OpenStreetMap/Geofabrik North-Eastern Zone
5314360022,"Network Bus, Sumo Stand",bus_station,27.2639132,92.4228934,OpenStreetMap/Geofabrik North-Eastern Zone
5315126846,Vans towards Imphal,bus_station,24.5003289,93.7755451,OpenStreetMap/Geofabrik North-Eastern Zone
