node_id,latitude,longitude
705,27.9352458,96.1679914
706,27.9190775,96.2183003
707,27.9271536,96.1560504
708,27.9158193,96.1725601
709,27.9266207,96.1594777
710,27.9183895,96.22049
711,27.9337765,96.1462117
712,27.9351605,96.1300666
713,27.9162771,96.174258
714,27.915527,96.304244
715,27.9103381,96.0766157
716,27.9159645,96.2505289
717,27.9300064,96.1636199
718,27.9319625,96.1737689
719,27.9099295,96.0821766
720,27.916182,96.2524378
721,27.9378266,96.1329824
722,26.1573688,90.5496193
723,26.115203,90.5782017
724,27.3829971,94.9575544
725,27.4863255,94.913904
726,27.4927083,94.9292994
727,27.4926303,94.9292004
728,27.4882807,94.9184405
729,26.163852,90.6253496
730,27.4744197,94.9417381
731,26.3581538,92.6881234
732,26.3462405,92.6799449
733,26.3577756,92.6954297
734,26.3527194,92.6808332
735,26.4805152,92.7702579
736,26.3705061,92.6141601
737,26.3483418,92.6953664
738,26.3448319,92.6915392
739,26.3453243,92.6907088
740,26.3586088,92.6561885
741,26.3453379,92.6963124
742,26.3454112,92.690476
743,26.3453891,92.6964046
744,26.3471218,92.6895791
745,26.362212,92.6872268
746,26.3498141,92.681701
747,27.383394,95.6145099
748,27.1815804,94.9132143
749,26.1851058,91.7570113
750,26.187454,91.7414685
751,27.3328924,92.437562
752,27.3199082,92.7516342
753,27.2858118,92.8225044
754,27.2802969,92.8772308
755,27.2763505,92.8867879
756,27.3038347,92.7735002
757,27.3020219,92.7770556
758,27.3424332,92.7422952
759,27.2931079,92.7764309
760,27.3044101,92.7682311
761,23.8283224,91.3770364
762,24.1843262,92.0997116
763,24.5574239,92.1612827
764,24.1868304,92.1006815
765,24.1874988,92.0999761
766,25.8242448,92.0891431
767,25.5353507,91.8247216
768,25.8624974,90.0830898
769,25.3196048,89.8676263
770,25.2564477,91.5784311
771,25.195367,90.7576608
772,25.5109043,89.954005
773,25.467304,89.8636836
774,25.4564791,89.9613257
775,25.4988824,90.0875118
776,25.7836768,90.6271058
777,26.3466864,92.6839706
778,27.2929635,96.1231387
779,27.3650418,96.0142663
780,27.3025015,96.0467947
781,27.3078448,96.156331
782,27.3163025,96.0530229
783,27.3116837,96.0510003
784,23.8311591,91.2695159
785,23.8339693,91.2834305
786,23.8325629,91.2836664
787,23.8337449,91.282661
788,23.825104,91.2519356
789,23.8384894,91.2907723
790,23.8272605,91.2809374
791,23.8383163,91.2576727
792,23.8318571,91.2839851
793,23.8396718,91.2805369
794,23.8318923,91.2754605
795,23.8141731,91.2701135
796,23.8385856,91.2703224
797,23.8272783,91.2825257
798,23.8353588,91.3016922
799,23.8295396,91.2643778
800,23.9095669,91.2497369
801,23.8228318,91.2451981
802,23.7869354,91.2796449
803,23.8368541,91.2850321
804,23.8357099,91.2633568
805,23.8319385,91.2787512
806,23.8416858,91.2829188
807,23.8311575,91.2909362
808,23.8441954,91.2706883
809,23.8421556,91.2831699
810,23.8310814,91.2643548
811,23.8376561,91.3054602
812,23.8161127,91.2503938
813,23.8314938,91.2869661
814,23.8275987,91.275292
815,23.8734911,91.2721629
816,25.1760462,90.882723
817,25.1937918,90.9374361
818,26.1749913,91.7574105
819,26.1749602,91.7363496
820,25.1875417,90.9732491
821,26.1750614,91.7575402
822,26.1769284,91.7410005
823,25.1853987,90.8995311
824,25.1861827,90.8684832
825,25.1760775,90.8812411
826,25.2050518,91.0018053
827,26.1817978,91.7457396
828,26.1717709,91.6861254
829,26.1642766,91.715845
830,25.2008362,90.7757878
831,26.1908018,91.7002234
832,26.181969,91.6966182
833,27.7004658,88.7473352
834,27.612146,88.6366281
835,27.6424851,88.609602
836,27.613644,88.6290026
837,27.6125376,88.63387
838,27.6823811,88.7475287
839,27.8448401,88.693011
840,27.6836354,88.7420929
841,27.6568915,88.7287657
842,27.674272,88.7958889
843,27.6709464,88.7296737
844,27.6395345,88.6103414
845,27.8429973,88.6926929
846,27.7439239,88.7756868
847,27.6845191,88.7400577
848,27.7265377,88.7498784
849,27.7466253,88.7773775
850,27.6821401,88.7414092
851,27.6438889,88.6079946
852,27.7009193,88.7480035
853,27.6888064,88.7484662
854,27.6934695,88.745058
855,27.6964062,88.748217
